generation, cans
0, 1.310000
1, 1.360000
2, 1.330000
3, 1.400000
4, 1.600000
5, 1.610000
6, 1.660000
7, 1.780000
8, 2.220000
9, 2.470000
10, 2.360000
11, 2.730000
12, 2.830000
13, 2.760000
14, 2.910000
15, 3.230000
16, 3.730000
17, 3.740000
18, 3.760000
19, 4.040000
20, 4.380000
21, 4.640000
22, 4.630000
23, 5.590000
24, 5.510000
25, 6.180000
26, 5.650000
27, 6.130000
28, 5.830000
29, 5.990000
30, 6.570000
31, 6.850000
32, 7.570000
33, 7.590000
34, 7.390000
35, 7.290000
36, 7.460000
37, 8.040000
38, 8.040000
39, 8.700000
40, 8.720000
41, 8.610000
42, 8.960000
43, 8.870000
44, 8.760000
45, 9.070000
46, 9.360000
47, 9.610000
48, 9.930000
49, 9.550000
50, 9.700000
51, 10.170000
52, 9.850000
53, 9.510000
54, 10.490000
55, 9.930000
56, 9.610000
57, 9.940000
58, 10.120000
59, 10.130000
60, 10.160000
61, 10.470000
62, 10.870000
63, 11.230000
64, 11.080000
65, 11.330000
66, 11.200000
67, 10.850000
68, 10.840000
69, 11.660000
70, 11.460000
71, 11.150000
72, 11.420000
73, 11.580000
74, 11.300000
75, 11.750000
76, 11.250000
77, 11.530000
78, 11.570000
79, 11.550000
80, 11.900000
81, 11.800000
82, 12.220000
83, 11.890000
84, 12.030000
85, 11.800000
86, 11.930000
87, 11.790000
88, 12.090000
89, 12.070000
90, 11.770000
91, 12.330000
92, 12.230000
93, 12.190000
94, 11.980000
95, 12.120000
96, 11.710000
97, 12.000000
98, 12.240000
99, 12.150000
100, 12.230000
101, 11.960000
102, 11.970000
103, 12.000000
104, 12.240000
105, 11.970000
106, 12.090000
107, 11.840000
108, 12.090000
109, 12.160000
110, 12.390000
111, 12.160000
112, 12.260000
113, 12.170000
114, 12.170000
115, 12.040000
116, 11.940000
117, 11.950000
118, 12.420000
119, 12.040000
120, 12.440000
121, 11.960000
122, 11.890000
123, 12.450000
124, 12.530000
125, 12.280000
126, 12.340000
127, 12.100000
128, 12.210000
129, 12.320000
130, 12.030000
131, 12.340000
132, 12.360000
133, 12.330000
134, 12.580000
135, 12.440000
136, 12.670000
137, 12.290000
138, 12.720000
139, 12.230000
140, 12.390000
141, 12.230000
142, 12.370000
143, 12.230000
144, 12.150000
145, 12.350000
146, 12.400000
147, 12.570000
148, 12.490000
149, 12.570000
150, 12.610000
151, 12.660000
152, 12.350000
153, 12.540000
154, 12.670000
155, 12.510000
156, 12.610000
157, 12.540000
158, 12.460000
159, 12.470000
160, 12.370000
161, 12.450000
162, 12.330000
163, 12.330000
164, 12.570000
165, 12.340000
166, 12.260000
167, 12.290000
168, 12.290000
169, 12.770000
170, 12.400000
171, 12.530000
172, 12.570000
173, 12.470000
174, 12.410000
175, 12.150000
176, 12.620000
177, 12.400000
178, 12.420000
179, 12.590000
180, 12.500000
181, 12.430000
182, 12.330000
183, 12.420000
184, 12.730000
185, 12.410000
186, 12.500000
187, 12.470000
188, 12.320000
189, 12.170000
190, 12.340000
191, 12.120000
192, 12.180000
193, 12.260000
194, 12.060000
195, 12.170000
196, 12.110000
197, 12.220000
198, 12.110000
199, 12.260000
200, 12.440000
201, 12.290000
202, 12.210000
203, 12.060000
204, 12.450000
205, 12.260000
206, 12.390000
207, 12.130000
208, 12.450000
209, 12.270000
210, 12.360000
211, 12.380000
212, 12.220000
213, 12.220000
214, 12.200000
215, 12.410000
216, 12.140000
217, 12.530000
218, 12.250000
219, 12.400000
220, 12.150000
221, 12.120000
222, 12.110000
223, 12.190000
224, 12.280000
225, 12.330000
226, 12.330000
227, 12.130000
228, 12.050000
229, 11.990000
230, 11.850000
231, 12.170000
232, 12.060000
233, 11.920000
234, 12.250000
235, 12.030000
236, 12.140000
237, 12.110000
238, 12.140000
239, 12.430000
240, 12.260000
241, 12.150000
242, 12.480000
243, 12.350000
244, 12.510000
245, 12.360000
246, 12.360000
247, 12.380000
248, 12.500000
249, 12.660000
250, 12.470000
251, 12.290000
252, 12.590000
253, 12.710000
254, 12.670000
255, 12.580000
256, 12.630000
257, 12.190000
258, 12.650000
259, 12.440000
260, 12.360000
261, 12.470000
262, 12.390000
263, 12.460000
264, 12.510000
265, 12.650000
266, 12.440000
267, 12.380000
268, 12.510000
269, 12.780000
270, 12.390000
271, 12.410000
272, 12.390000
273, 12.440000
274, 12.350000
275, 12.260000
276, 12.510000
277, 12.540000
278, 12.470000
279, 12.390000
280, 12.440000
281, 12.530000
282, 12.440000
283, 12.360000
284, 12.500000
285, 12.310000
286, 12.620000
287, 12.480000
288, 12.550000
289, 12.580000
290, 12.650000
291, 12.330000
292, 12.570000
293, 12.730000
294, 12.540000
295, 12.520000
296, 12.480000
297, 12.310000
298, 12.850000
299, 12.390000
